mass ctau ul
500 100 1.48242e-08
510 100 8.98709e-09
520 100 9.12149e-09
530 100 9.28643e-09
540 100 1.047e-08
550 100 7.63304e-09
560 100 1.07234e-08
570 100 8.40578e-09
580 100 7.85841e-09
590 100 6.00266e-09
600 100 7.35823e-09
610 100 7.49295e-09
620 100 6.81422e-09
630 100 6.12943e-09
640 100 5.86173e-09
650 100 6.05011e-09
660 100 5.28233e-09
670 100 5.25634e-09
680 100 6.42887e-09
690 100 5.75455e-09
700 100 6.72197e-09
710 100 5.04721e-09
720 100 4.94639e-09
730 100 4.87841e-09
740 100 4.80868e-09
750 100 6.47618e-09
760 100 6.47758e-09
770 100 6.61236e-09
780 100 6.41465e-09
790 100 9.55933e-09
800 100 8.57171e-09
810 100 6.36122e-09
820 100 5.00931e-09
830 100 5.67714e-09
840 100 5.52639e-09
850 100 4.52412e-09
860 100 4.37645e-09
870 100 4.37032e-09
880 100 4.38156e-09
890 100 4.3426e-09
900 100 4.34385e-09
910 100 4.31366e-09
920 100 4.28451e-09
930 100 5.14141e-09
940 100 5.43661e-09
950 100 5.37683e-09
960 100 5.29346e-09
970 100 4.88899e-09
980 100 5.53376e-09
990 100 4.1611e-09
1000 100 4.12802e-09
1010 100 4.09732e-09
1020 100 5.42605e-09
1030 100 5.36403e-09
1040 100 5.26414e-09
1050 100 3.99879e-09
1060 100 3.97678e-09
1070 100 6.33241e-09
1080 100 6.26505e-09
1090 100 6.23359e-09
1100 100 5.09863e-09
1110 100 4.57374e-09
1120 100 4.60221e-09
1130 100 4.57709e-09
1140 100 3.69529e-09
1150 100 4.49848e-09
1160 100 4.46643e-09
1170 100 4.40313e-09
1180 100 3.568e-09
1190 100 3.5438e-09
1200 100 3.52881e-09
1210 100 3.4322e-09
1220 100 3.46829e-09
1230 100 3.57217e-09
1240 100 4.45819e-09
1250 100 5.17854e-09
1260 100 4.97692e-09
1270 100 4.13552e-09
1280 100 3.34355e-09
1290 100 3.21548e-09
1300 100 3.2551e-09
1310 100 3.68321e-09
1320 100 3.12365e-09
1330 100 3.08556e-09
1340 100 3.06336e-09
1350 100 3.01133e-09
1360 100 3.02095e-09
1370 100 2.98173e-09
1380 100 3.17641e-09
1390 100 3.13489e-09
1400 100 3.34429e-09
1410 100 3.44394e-09
1420 100 2.86573e-09
1430 100 3.35617e-09
1440 100 3.25636e-09
1450 100 3.14847e-09
1460 100 2.772e-09
1470 100 2.7509e-09
1480 100 2.72916e-09
1490 100 3.15771e-09
1500 100 3.55272e-09
1510 100 3.44058e-09
1520 100 3.11521e-09
1530 100 2.63296e-09
1540 100 2.63079e-09
1550 100 2.59975e-09
1560 100 2.58725e-09
1570 100 2.95218e-09
1580 100 2.92469e-09
1590 100 3.2126e-09
1600 100 3.38049e-09
1610 100 2.97769e-09
1620 100 2.50472e-09
1630 100 2.78662e-09
1640 100 2.5406e-09
1650 100 3.17467e-09
1660 100 3.24154e-09
1670 100 2.79424e-09
1680 100 2.81543e-09
1690 100 2.53669e-09
1700 100 2.60729e-09
1710 100 2.61989e-09
1720 100 3.50116e-09
1730 100 3.5661e-09
1740 100 3.66488e-09
1750 100 3.34582e-09
1760 100 2.54756e-09
1770 100 2.5373e-09
1780 100 2.44384e-09
1790 100 2.38871e-09
1800 100 2.31261e-09
1810 100 2.25362e-09
1820 100 2.23854e-09
1830 100 2.22956e-09
1840 100 2.21367e-09
1850 100 2.20637e-09
1860 100 2.19613e-09
1870 100 2.45476e-09
1880 100 2.50797e-09
1890 100 2.47045e-09
1900 100 2.46308e-09
1910 100 2.58897e-09
1920 100 2.52519e-09
1930 100 2.53276e-09
1940 100 2.11233e-09
1950 100 2.10931e-09
1960 100 2.10514e-09
1970 100 2.1477e-09
1980 100 2.10745e-09
1990 100 2.17217e-09
2000 100 2.50827e-09
2010 100 2.20166e-09
2020 100 2.18441e-09
2030 100 2.05189e-09
2040 100 2.12431e-09
