,mass,ctau,central,up,down
0,0.5,1,6.543424639105623e-09,4.648907462612435e-09,9.408383535146463e-09
1,0.5,10,1.2291741496394719e-08,8.732914631519752e-09,1.7673531016437812e-08
2,0.5,100,7.479117782189869e-08,5.313689449953273e-08,1.0753758540878407e-07
3,0.6,1,6.063185582615123e-09,4.307711979101557e-09,8.717877648516879e-09
4,0.6,10,8.111740768870967e-09,5.763149157370933e-09,1.1663367808214472e-08
5,0.6,100,5.752095445846135e-08,4.086691743042392e-08,8.27058047889228e-08
6,0.75,1,7.38087861442278e-09,5.243893460033279e-09,1.0612506548305187e-08
7,0.75,10,8.463728043085398e-09,6.013225586166442e-09,1.2169468429517384e-08
8,0.75,100,4.984899684798569e-08,3.541622105118642e-08,7.167477384629294e-08
9,1.25,1,1.367218419962209e-08,9.71367787686826e-09,1.9658383768105275e-08
10,1.25,10,2.5538466015786055e-09,1.8144316133010392e-09,3.6720172757832923e-09
11,1.25,100,1.3519862081433169e-08,9.605457568539591e-09,1.943936926303364e-08
12,1.5,1,1.930778171226532e-08,1.3717601323350895e-08,2.7761459110608514e-08
13,1.5,10,2.0985457634007422e-09,1.4909539878862112e-09,3.017368503051878e-09
14,1.5,100,8.433533183414565e-09,5.991773041635348e-09,1.2126053117774456e-08
15,2.0,1,2.3460741321036973e-08,1.6668154891548704e-08,3.373274157511262e-08
16,2.0,10,1.8051914136790393e-09,1.2825344979664113e-09,2.5955725191276996e-09
17,2.0,100,6.018521125485141e-09,4.275979218426943e-09,8.653657402048906e-09
18,2.5,1,4.47213774141281e-08,3.177320083375554e-08,6.430208860625987e-08
19,2.5,10,1.507556622086777e-09,1.0710738821449858e-09,2.167621953919366e-09
20,2.5,100,3.766684138219067e-09,2.6761164016193162e-09,5.415880977114984e-09
