# Job started on: Thu Oct  8 20:24:11 CEST 2020 ................
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:26:45 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -9.95
# etamax = 9.95
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
  -9.9500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.8500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.7500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.6500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.5500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.4500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.3500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.2500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.1500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -9.0500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.9500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.8500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.7500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.6500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.5500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.4500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.3500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.2500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.1500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -8.0500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  -7.9500 4.4220e+05 2.7485e+05 6.8767e+05 2.9660e+05 6.6370e+05 3.5970e+05 5.4800e+05
  -7.8500 5.4810e+05 3.4036e+05 8.5101e+05 3.6690e+05 8.2150e+05 4.4650e+05 6.7850e+05
  -7.7500 6.7320e+05 4.1750e+05 1.0438e+06 4.4980e+05 1.0080e+06 5.4880e+05 8.3220e+05
  -7.6500 8.1930e+05 5.0733e+05 1.2675e+06 5.4620e+05 1.2240e+06 6.6850e+05 1.0120e+06
  -7.5500 9.9040e+05 6.1196e+05 1.5280e+06 6.5800e+05 1.4760e+06 8.0950e+05 1.2210e+06
  -7.4500 1.1860e+06 7.3128e+05 1.8270e+06 7.8570e+05 1.7660e+06 9.7030e+05 1.4590e+06
  -7.3500 1.4120e+06 8.7784e+05 2.1720e+06 9.4210e+05 2.1000e+06 1.1580e+06 1.7350e+06
  -7.2500 1.6720e+06 1.0338e+06 2.5645e+06 1.1020e+06 2.4810e+06 1.3850e+06 2.0490e+06
  -7.1500 1.9680e+06 1.2104e+06 3.0127e+06 1.2940e+06 2.9160e+06 1.6220e+06 2.4070e+06
  -7.0500 2.3030e+06 1.4153e+06 3.5183e+06 1.5110e+06 3.4070e+06 1.9020e+06 2.8110e+06
  -6.9500 2.6790e+06 1.6464e+06 4.0846e+06 1.7550e+06 3.9580e+06 2.2180e+06 3.2620e+06
  -6.8500 3.1000e+06 1.9055e+06 4.7166e+06 2.0290e+06 4.5730e+06 2.5710e+06 3.7660e+06
  -6.7500 3.5660e+06 2.1921e+06 5.4155e+06 2.3320e+06 5.2530e+06 2.9620e+06 4.3240e+06
  -6.6500 4.0780e+06 2.5082e+06 6.1841e+06 2.6650e+06 6.0010e+06 3.3940e+06 4.9370e+06
  -6.5500 4.6400e+06 2.8531e+06 7.0235e+06 3.0290e+06 6.8190e+06 3.8670e+06 5.6060e+06
  -6.4500 5.2540e+06 3.2321e+06 7.9400e+06 3.4270e+06 7.7120e+06 4.3880e+06 6.3370e+06
  -6.3500 5.9240e+06 3.6452e+06 8.9364e+06 3.8610e+06 8.6840e+06 4.9560e+06 7.1310e+06
  -6.2500 6.6480e+06 4.0911e+06 1.0011e+07 4.3290e+06 9.7320e+06 5.5710e+06 7.9880e+06
  -6.1500 7.4250e+06 4.5734e+06 1.1166e+07 4.8340e+06 1.0860e+07 6.2340e+06 8.9060e+06
  -6.0500 8.2580e+06 5.0869e+06 1.2394e+07 5.3720e+06 1.2060e+07 6.9440e+06 9.8870e+06
  -5.9500 9.1470e+06 5.6362e+06 1.3703e+07 5.9460e+06 1.3340e+07 7.7050e+06 1.0930e+07
  -5.8500 1.0090e+07 6.2192e+06 1.5095e+07 6.5550e+06 1.4700e+07 8.5130e+06 1.2040e+07
  -5.7500 1.1080e+07 6.8363e+06 1.6557e+07 7.1970e+06 1.6130e+07 9.3680e+06 1.3200e+07
  -5.6500 1.2130e+07 7.4835e+06 1.8088e+07 7.8720e+06 1.7630e+07 1.0270e+07 1.4420e+07
  -5.5500 1.3220e+07 8.1606e+06 1.9694e+07 8.5770e+06 1.9200e+07 1.1210e+07 1.5700e+07
  -5.4500 1.4370e+07 8.8652e+06 2.1356e+07 9.3110e+06 2.0830e+07 1.2200e+07 1.7030e+07
  -5.3500 1.5560e+07 9.5960e+06 2.3090e+07 1.0070e+07 2.2530e+07 1.3230e+07 1.8410e+07
  -5.2500 1.6780e+07 1.0358e+07 2.4876e+07 1.0860e+07 2.4280e+07 1.4290e+07 1.9830e+07
  -5.1500 1.8050e+07 1.1138e+07 2.6713e+07 1.1670e+07 2.6080e+07 1.5390e+07 2.1300e+07
  -5.0500 1.9350e+07 1.1938e+07 2.8598e+07 1.2500e+07 2.7930e+07 1.6520e+07 2.2800e+07
