# Job started on: Thu Oct  8 20:28:14 CEST 2020 ....
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:28:52 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -2.8
# etamax = 2.8
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass
   0.5000 4.6478e+06 2.0018e+06 7.3144e+06 2.1988e+06 6.9609e+06 3.6459e+06 5.9746e+06
   1.5000 2.3648e+07 1.1049e+07 3.5788e+07 1.1909e+07 3.4275e+07 1.9075e+07 2.9517e+07
   2.5000 3.6223e+07 1.8402e+07 5.3385e+07 1.9564e+07 5.1452e+07 2.9893e+07 4.4135e+07
   3.5000 3.9093e+07 2.1419e+07 5.7065e+07 2.2518e+07 5.5434e+07 3.2958e+07 4.6574e+07
   4.5000 3.5553e+07 2.0811e+07 5.1734e+07 2.1675e+07 5.0619e+07 3.0581e+07 4.1454e+07
   5.5000 2.9405e+07 1.8260e+07 4.2639e+07 1.8874e+07 4.1944e+07 2.5756e+07 3.3638e+07
   6.5000 2.3125e+07 1.5118e+07 3.3346e+07 1.5537e+07 3.2923e+07 2.0570e+07 2.6033e+07
   7.5000 1.7755e+07 1.2109e+07 2.5414e+07 1.2391e+07 2.5155e+07 1.5995e+07 1.9731e+07
   8.5000 1.3516e+07 9.5436e+06 1.9180e+07 9.7336e+06 1.9017e+07 1.2302e+07 1.4863e+07
   9.5000 1.0290e+07 7.4579e+06 1.4466e+07 7.5869e+06 1.4361e+07 9.4453e+06 1.1220e+07
  10.5000 7.8712e+06 5.8420e+06 1.0958e+07 5.9314e+06 1.0889e+07 7.2752e+06 8.5217e+06
  11.5000 6.0641e+06 4.5778e+06 8.3600e+06 4.6402e+06 8.3130e+06 5.6379e+06 6.5264e+06
  12.5000 4.7113e+06 3.5850e+06 6.4328e+06 3.6282e+06 6.4002e+06 4.4022e+06 5.0446e+06
  13.5000 3.6906e+06 2.8299e+06 4.9918e+06 2.8604e+06 4.9688e+06 3.4635e+06 3.9341e+06
  14.5000 2.9169e+06 2.2531e+06 3.9092e+06 2.2750e+06 3.8927e+06 2.7480e+06 3.0971e+06
  15.5000 2.3247e+06 1.8082e+06 3.0882e+06 1.8241e+06 3.0762e+06 2.1977e+06 2.4596e+06
