# Job started on: Thu Oct  8 20:20:48 CEST 2020 .....
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:21:36 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -10
# etamax = 10
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass
   0.5000 2.4089e+07 1.1280e+07 3.7611e+07 1.2149e+07 3.6218e+07 1.9453e+07 3.0066e+07
   1.5000 5.9895e+07 2.9871e+07 9.0513e+07 3.1922e+07 8.7208e+07 4.8989e+07 7.3732e+07
   2.5000 7.2937e+07 3.9018e+07 1.0755e+08 4.1297e+07 1.0404e+08 6.0714e+07 8.8117e+07
   3.5000 6.9553e+07 3.9758e+07 1.0159e+08 4.1688e+07 9.8923e+07 5.9004e+07 8.2355e+07
   4.5000 5.8398e+07 3.5412e+07 8.5010e+07 3.6824e+07 8.3300e+07 5.0466e+07 6.7783e+07
   5.5000 4.5670e+07 2.9213e+07 6.6238e+07 3.0168e+07 6.5218e+07 4.0143e+07 5.2067e+07
   6.5000 3.4451e+07 2.3096e+07 4.9687e+07 2.3724e+07 4.9086e+07 3.0727e+07 3.8687e+07
   7.5000 2.5610e+07 1.7846e+07 3.6663e+07 1.8257e+07 3.6304e+07 2.3117e+07 2.8406e+07
   8.5000 1.8995e+07 1.3664e+07 2.6959e+07 1.3936e+07 2.6738e+07 1.7315e+07 2.0859e+07
   9.5000 1.4153e+07 1.0429e+07 1.9902e+07 1.0610e+07 1.9761e+07 1.3006e+07 1.5416e+07
  10.5000 1.0630e+07 7.9581e+06 1.4811e+07 8.0797e+06 1.4712e+07 9.8332e+06 1.1533e+07
  11.5000 8.0612e+06 6.0845e+06 1.1122e+07 6.1661e+06 1.1056e+07 7.4991e+06 8.6936e+06
  12.5000 6.1768e+06 4.6991e+06 8.4608e+06 4.7550e+06 8.4161e+06 5.7740e+06 6.6264e+06
  13.5000 4.7899e+06 3.6692e+06 6.4820e+06 3.7110e+06 6.4526e+06 4.4867e+06 5.1038e+06
  14.5000 3.7361e+06 2.8848e+06 5.0215e+06 2.9126e+06 4.9993e+06 3.5205e+06 3.9738e+06
  15.5000 2.9480e+06 2.2920e+06 3.9200e+06 2.3120e+06 3.9039e+06 2.7873e+06 3.1243e+06
  16.5000 2.3458e+06 1.8359e+06 3.0925e+06 1.8505e+06 3.0814e+06 2.2247e+06 2.4738e+06
  17.5000 1.8822e+06 1.4824e+06 2.4613e+06 1.4931e+06 2.4531e+06 1.7900e+06 1.9792e+06
  18.5000 1.5222e+06 1.2061e+06 1.9752e+06 1.2141e+06 1.9691e+06 1.4514e+06 1.5964e+06
  19.5000 1.2400e+06 9.8802e+05 1.5972e+06 9.9406e+05 1.5926e+06 1.1851e+06 1.2972e+06
  20.5000 1.0168e+06 8.1458e+05 1.3008e+06 8.1917e+05 1.2972e+06 9.7399e+05 1.0613e+06
  21.5000 8.3918e+05 6.7572e+05 1.0665e+06 6.7923e+05 1.0638e+06 8.0548e+05 8.7404e+05
  22.5000 6.9676e+05 5.6379e+05 8.7997e+05 5.6649e+05 8.7790e+05 6.7007e+05 7.2427e+05
  23.5000 5.8178e+05 4.7293e+05 7.3038e+05 4.7503e+05 7.2876e+05 5.6050e+05 6.0363e+05
