# pt     central   down        up  
0.500000 0.000000 0.000000 0.000000 
1.500000 0.000000 0.000000 0.000000 
2.500000 0.000000 0.000000 0.000000 
3.500000 0.000000 0.000000 0.000000 
4.500000 0.000000 0.000000 0.000000 
5.500000 1.267196 1.131185 1.305700 
6.500000 1.115062 1.047904 1.142548 
7.500000 1.002358 0.982699 1.019503 
8.500000 0.916475 0.930239 0.924133 
9.500000 0.875693 0.912354 0.874780 
10.500000 0.846016 0.902629 0.836917 
11.500000 0.838791 0.910237 0.821689 
12.500000 0.849641 0.929381 0.824344 
13.500000 0.828775 0.913525 0.796545 
14.500000 0.861404 0.956480 0.820326 
15.500000 0.837480 0.936406 0.790545 
16.500000 0.876305 0.986352 0.820274 
17.500000 0.854530 0.967930 0.793444 
18.500000 0.879967 1.002823 0.810761 
19.500000 0.888051 1.017801 0.812246 
20.500000 0.978772 1.127831 0.889050 
21.500000 0.982853 1.138371 0.886814 
22.500000 0.994269 1.157222 0.891398 
23.500000 0.934622 1.092821 0.832896 
24.500000 0.986847 1.158959 0.874453 
25.500000 0.978247 1.153603 0.862172 
26.500000 0.985124 1.166280 0.863795 
27.500000 0.973009 1.156302 0.849039 
28.500000 1.025647 1.223144 0.890758 
29.500000 1.083280 1.296260 0.936650 
30.500000 1.002372 1.203236 0.862991 
31.500000 1.071439 1.290117 0.918802 
32.500000 1.125704 1.359321 0.961645 
33.500000 1.040435 1.259864 0.885631 
34.500000 1.030876 1.251637 0.874485 
35.500000 0.933259 1.135992 0.789041 
36.500000 0.942207 1.149656 0.794053 
37.500000 1.107212 1.354112 0.930243 
38.500000 0.948760 1.162885 0.794799 
39.500000 1.144646 1.405874 0.956251 
40.500000 1.034602 1.273202 0.862081 
41.500000 1.194791 1.473117 0.993114 
42.500000 0.893331 1.103448 0.740763 
43.500000 1.395276 1.726498 1.154281 
44.500000 0.877026 1.087080 0.723901 
45.500000 1.095895 1.360651 0.902573 
46.500000 1.317104 1.637859 1.082478 
47.500000 0.973088 1.211942 0.798144 
48.500000 1.815499 2.264478 1.486301 
49.500000 1.096736 1.369839 0.896254 
50.500000 0.918867 1.149219 0.749615 
51.500000 1.034202 1.295075 0.842297 
52.500000 1.040607 1.304729 0.846153 
53.500000 0.783745 0.983870 0.636326 
54.500000 0.968198 1.216797 0.784856 
55.500000 1.367992 1.721275 1.107349 
56.500000 1.252394 1.577575 1.012299 
57.500000 1.052395 1.327061 0.849480 
58.500000 1.655906 2.090244 1.334840 
59.500000 2.130499 2.691935 1.715170 
60.500000 0.753957 0.953556 0.606220 
61.500000 1.805823 2.285967 1.450191 
62.500000 0.925208 1.172252 0.742138 
63.500000 1.537520 1.949720 1.231874 
64.500000 1.420928 1.803357 1.137237 
65.500000 1.314509 1.669702 1.050990 
66.500000 2.028773 2.579011 1.620454 
67.500000 1.128283 1.435426 0.900332 
68.500000 5.234058 6.664012 4.172830 
69.500000 0.694372 0.884730 0.553077 
70.500000 0.645412 0.822929 0.513630 
71.500000 0.525377 0.670340 0.417748 
72.500000 1.304528 1.665568 1.036404 
73.500000 0.911752 1.164907 0.723762 
74.500000 0.000000 0.000000 0.000000 
75.500000 3.175161 4.061644 2.516412 
76.500000 1.483129 1.898299 1.174466 
77.500000 1.386550 1.775677 1.097125 
78.500000 2.594473 3.324389 2.051402 
79.500000 1.214508 1.557090 0.959601 
80.500000 0.758557 0.973068 0.598966 
81.500000 1.066763 1.369077 0.841762 
82.500000 1.000762 1.285081 0.789216 
83.500000 0.375812 0.482784 0.296174 
84.500000 0.000000 0.000000 0.000000 
85.500000 1.659107 2.133533 1.306073 
86.500000 1.560408 2.007647 1.227765 
87.500000 0.734298 0.945156 0.577417 
88.500000 0.691481 0.890450 0.543480 
89.500000 0.651532 0.839388 0.511796 
90.500000 1.228496 1.583421 0.964517 
91.500000 1.158847 1.494332 0.909368 
92.500000 0.546877 0.705516 0.428927 
93.500000 0.516442 0.666553 0.404848 
94.500000 0.000000 0.000000 0.000000 
95.500000 0.461273 0.595853 0.361252 
96.500000 0.000000 0.000000 0.000000 
97.500000 0.000000 0.000000 0.000000 
98.500000 0.000000 0.000000 0.000000 
99.500000 0.000000 0.000000 0.000000 
